Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2027-05,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,29.313435799809398,20.642426609756942,37.98444631699618
2027-06,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,30.65375512206061,22.907936774118856,38.399572422532906
2027-06,NEAR_TERM_2026_2050,NESM3,SSP245,MH,23.77728444122425,16.06610262696902,31.488468454795576
2027-06,NEAR_TERM_2026_2050,NESM3,SSP245,ML,30.204430354294615,22.492293096616223,37.9165692303632
2027-06,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,29.63377302957097,21.902711089587804,37.36483509197869
2027-07,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,29.055755338945353,23.328994763121152,34.78251651766086
2027-07,NEAR_TERM_2026_2050,NESM3,SSP245,MH,22.050344899068293,16.418444900285344,27.682247824760633
2027-07,NEAR_TERM_2026_2050,NESM3,SSP245,ML,26.835699587725156,21.40515102835101,32.26624564595082
2027-07,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,27.526615701026206,21.89520571504532,33.15802555025624
2027-08,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,26.426343542882993,21.467868036353646,31.384820190134757
2027-08,NEAR_TERM_2026_2050,NESM3,SSP245,MH,19.80074511672451,14.950310328464745,24.651181517264888
2027-08,NEAR_TERM_2026_2050,NESM3,SSP245,ML,25.091054470822996,20.55293777945099,29.62917707845886
2027-08,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,25.194643871220148,20.367387367996145,30.021902742187276
2027-09,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,26.949094078580128,21.42909447310527,32.46909383369347
2027-09,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.227651846076213,14.504734629856117,25.95056616845931
2027-09,NEAR_TERM_2026_2050,NESM3,SSP245,ML,25.93736292279666,20.683587289814387,31.191135622168062
2027-09,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,25.79413103915682,20.32310625013131,31.265154805806976
2027-10,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,27.098813431801087,20.018316319017288,34.179312472535926
2027-10,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.631694650456264,13.30514336035397,27.958255812676764
2027-10,NEAR_TERM_2026_2050,NESM3,SSP245,ML,27.179697397592932,19.714564678005466,34.644830482767155
2027-10,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,26.27905090790476,19.060551207527148,33.49755312840501
2027-11,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,25.671498970608635,19.932744392364675,31.410248743071357
2027-11,NEAR_TERM_2026_2050,NESM3,SSP245,MH,19.088371471569385,12.835919606165676,25.340819748615218
2027-11,NEAR_TERM_2026_2050,NESM3,SSP245,ML,26.555587146611376,19.982173512293716,33.12900498963519
2027-11,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,25.060523154068957,19.023510632526378,31.097533684258785
2027-12,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,23.799142115572927,16.800906453178733,30.79738221507374
2027-12,NEAR_TERM_2026_2050,NESM3,SSP245,MH,18.55969606046594,11.248198576549724,25.871193486505433
